Las Teresitas,28.508522359508084,-16.187152862548828,no,baja,alta,blanca,si,si,si,si,si,si,""
Martiánez,28.41778677597734,-16.54163360595703,no,baja,media,negra,no,no,no,no,no,si,""
El Socorro,28.393951,-16.602529,si,baja,alta,negra,no,no,no,si,si,si,"http://losrealejos.es/recursos/webcam/playasocorro.jpg"
Las Américas,28.0720651,-16.7328153,no,baja,alta,blanca,si,si,si,si,si,si,"http://images.webcams.travel/webcam/1171024448-Tiempo-Tenerife-Playa-de-las-Americas-Playa-de-las-Am%C3%A9ricas.jpg"
La Troya,28.0674456,-16.733304,si,baja,alta,blanca,si,si,si,si,si,si,"http://www.meteosurfcanarias.com/1-webcams/med/troya.jpg"
El Médano,28.0438511,-16.5386653,no,baja,alta,blanca,no,si,si,si,si,si,"http://cams.ezcom.eu/csf4u/lastsnap.jpg"
Los Patos,28.4202624,-16.5098928,no,alta,alta,negra,no,no,no,no,no,no,"http://www.faisan-azul-teneriffa.de/camera/video00.jpg"
El Ancón,28.4237379,-16.5046833,no,media,alta,negra,no,no,no,no,no,no,"http://www.faisan-azul-teneriffa.de/camera/video00.jpg"
Charco del Viento,28.400578,-16.673353,no,media,alta,piedras,no,no,no,no,no,no,""
El Bollullo,28.4177507,-16.520624,no,baja,alta,negra,no,no,no,no,no,no,"http://www.faisan-azul-teneriffa.de/camera/video00.jpg"
Rambla de Castro, 28.3974915,-16.5924245,no,alta,media,negra,no,no,no,no,no,no,"http://solotenerife.com/webcam/webcam/webcam/current.jpg"
Punta Brava,28.4109871,-16.5632125,no,baja,alta,negra,no,si,si,si,si,si,""
San Marcos,28.377950,-16.724031,no,baja,alta,negra,no,no,no,si,si,si,""
Bocacangrejo,28.404218,-16.318007,no,baja,alta,negra,no,no,no,no,si,no,""
Antequera,28.533819,-16.129245,no,media,alta,blanca,no,no,no,no,no,no,""
Diego Hernández,28.100773,-16.755479,no,baja,alta,blanca,no,no,no,no,no,no,""
Caletón de Garachico,28.370759,-16.7680223,no,alta,alta,negra,no,no,no,no,no,si,""
Las Gaviotas,28.5150813,-16.1730446,no,baja,alta,negra,no,no,no,si,no,no,""
Benijos,28.575789,-16.185766,no,media,alta,negra,no,no,no,no,no,no,""
Almáciga,28.57213,-16.19905,no,media,alta,negra,no,no,no,no,no,no,""
El Duque,28.0910911,-16.7433735,no,baja,alta,blanca,si,si,si,si,si,si,""
La Pinta,28.0795398,-16.735194,no,baja,alta,blanca,si,si,si,si,si,si,""
La Tejita,28.031757,-16.557274,no,baja,alta,negra,no,no,no,no,no,no,"http://www.cabezo-medano.com/files/rudimobotix.jpg"
Fañabé,28.084497,-16.7366439,si,baja,alta,blanca,si,si,si,si,si,si,"http://212.145.204.172:8091/record/current.jpg"
La Garañona,28.486767,-16.431481,no,baja,alta,negra,no,no,no,no,no,no,""
El Poris,28.165435,-16.426359,no,baja,alta,blanca,no,no,no,si,si,si,""
Abades,28.143001,-16.438973,no,baja,media,blanca,no,no,no,si,si,no,""
San Telmo,28.417784,-16.546532,si,baja,alta,negra,no,no,no,si,si,si,""
Las Mujeres,28.371539,-16.870801,no,baja,alta,piedras,no,no,no,no,no,no,""
La Jaca,28.120720,-16.462949,no,baja,alta,negra,no,no,no,no,si,no,""
Los Abrigos,28.143020,-16.438691,no,baja,media,blanca,no,no,no,no,no,no,""
Paraiso,28.121845,-16.777802,no,baja,alta,no,si,si,no,no,no,""
Santa Catalina,28.179182,-17.181662,no,baja,alta,piedras,no,no,si,no,no,no,""
Santiago,28.029503,-17.194051,si,baja,alta,piedras,no,no,no,si,no,no,""
La Cueva,28.090899,-17.105820,no,baja,alta,negra,no,no,no,si,si,si,""
Vueltas,28.082514,-17.332085,no,baja,alta,negra,no,no,no,si,si,no,"http://gomera.is-very-nice.org:1025/record/current.jpg"
Guariñén,28.139097,-17.342493,no,media,alta,negra,no,no,no,no,no,no,""
Tazacorte,28.640531,-17.938483,si,baja,alta,negra,no,no,no,si,no,no,"http://www.puertotazacorte.com/inc/image.php?img=Domo1.jpg&t=webcam"
Los Cancajos,28.653040,-17.760643,si,baja,alta,negra,no,si,si,si,si,si,"http://www.islasimmobilien.com/webcam/cancajos/resources_static/cam_images/stream.jpg"
Puerto Naos,28.584296,-17.909521,si,baja,alta,negra,no,no,no,si,si,si,"http://www.islasimmobilien.com/webcam/puertonaos2/resources_static/cam_images/stream.jpg"
Charco Verde,28.572683,-17.899729,si,baja,alta,negra,no,no,si,si,si,si,""
Bajamar,28.671181,-17.769054,si,baja,alta,negra,no,no,no,si,no,si,""
Maspalomas,27.735830,-15.583513,si,baja,alta,blanca,no,si,si,si,si,si,"http://playademaspalomas.com/meteo/playa.jpg"
Las Canteras,28.138106,-15.437162,si,baja,alta,blanca,si,si,si,si,si,si,"http://penalavieja.axiscam.net:8888/axis-cgi/jpg/image.cgi?resolution=450x330&compression=50&etduv=823"
Güigüi,27.948431,-15.828223,no,media,alta,no,no,no,no,no,no,""
Puerto Rico,27.784506,-15.714125,no,baja,alta,blanca,si,si,si,si,si,si,"http://wetter.micanarias.com/weatherimages/marinasuites/beach.jpg"
El Inglés,27.758581,-15.565545,si,baja,alta,blanca,no,si,si,si,si,si,"http://212.64.173.117/cgi-bin/jpg/image.cgi"
Mogán,27.814603,-15.753447,si,baja,alta,blanca,no,si,si,si,si,si,"http://www.weathergrancanaria.com/weatherstation/weathercam.jpg"
Amadores,27.790495,-15.723191,si,baja,alta,blanca,si,si,si,si,si,si,""
Meloneras,27.744862,-15.611772,si,baja,alta,blanca,no,si,si,si,si,si,"http://www.logilodge.de/webcam/liveimage.php"
Agaete,28.100409,-15.709295,no,baja,alta,negra,no,no,no,no,no,no,"http://83.61.22.4:8080/axis-cgi/jpg/image.cgi?resolution=352x288&text=0&dummy=1406237592378"
San Agustín,27.769135,-15.540900,si,baja,alta,blanca,no,si,si,si,si,si,"http://wavenetcanarias.com/newpanel/uploads/Router_Uploads/snap_00272261AF33.jpeg"
Las Burras,27.766200,-15.552169,no,baja,alta,blanca,no,si,si,si,si,si,""
Melenara,27.987647,-15.375110,si,baja,alta,blanca,no,no,no,si,si,si,""
Tufia,27.963735,-15.381663,no,baja,alta,blanca,no,no,no,no,no,no,""
El Puertillo,28.151376,-15.534239,si,baja,alta,blanca,no,no,no,no,no,no,""
Las Salinas,28.107796,-15.706917,no,baja,alta,negra,no,no,no,no,no,no,""
Las Alcaravaneras,28.131215,-15.429074,no,baja,alta,blanca,no,si,si,si,si,si,""
Pozo Izquierdo,27.821224,-15.423254,no,baja,alta,negra,no,no,no,no,no,no,"http://camaras.konducta.com:8081/cam_1.jpg"
del Burrero,27.909938,-15.386727,no,baja,media,negra,no,no,no,no,si,no,""
Las Salinetas,27.983574,-15.378194,si,baja,alta,negra,no,no,no,si,si,si,""
Hoya del Pozo,28.000057,-15.375537,si,baja,alta,negra,no,no,no,si,si,si,""
Papagayo,28.856315,-13.798257,no,baja,alta,blanca,no,no,no,no,no,no,"http://212.170.96.240:8091/record/current.jpg"
Las Conchas,29.276738,-13.514758,no,baja,alta,blanca,no,no,no,no,no,""
Famara,29.116534,-13.553681,no,baja,alta,blanca,no,no,no,no,no,no,""
Los Charcones,28.894714,-13.865728,no,media,alta,piedras,no,no,no,no,no,no,""
El Pozo,28.854292,-13.793491,no,media,alta,blanca,no,no,no,no,no,no,""
Las Cucharas,28.998906,-13.488079,si,baja,alta,blanca,si,si,si,si,si,si,"http://www.beachbar-lanzarote.com/cam1.jpg"
Charco del Palo,29.083928,-13.449736,no,media,alta,piedras,no,no,no,no,no,no,""
Matagorda,28.930065,-13.623281,no,baja,alta,blanca,si,si,si,si,si,si,"http://www.gomatagorda.com/webcam/camera0.jpg"
Los Pocillos,28.927096,-13.634661,no,baja,alta,blanca,si,si,si,si,si,si,""
La Garita,29.125190,-13.464950,no,baja,alta,negra,no,no,no,no,no,no,""
El Reducto,28.958058,-13.556660,no,baja,alta,no,no,no,si,si,si,"http://lancelot.tv/media/lancelot.jpg"
Cofete,28.114422,-14.378805,no,baja,alta,blanca,no,no,no,no,no,no,""
Grandes Playas,28.708847,-13.838330,si,baja,alta,blanca,no,si,si,si,si,si,""
Sotavento,28.110798,-14.263990,no,baja,alta,blanca,no,no,no,si,si,no,""
Jandía,28.048694,-14.323690,no,baja.alta,blanca,no,si,si,si,si,si,"http://www.solitour.info/coronadobeach3.jpg"
Costa Calma,28.159080,-14.225572,si,baja,alta,no,si,si,si,si,si,""
Gran Tarajal,28.211505,-14.019150,no,baja,alta,negra,no,si,si,si,si,si,""
Esquinzo,28.077944,-14.295567,no,baja,alta,blanca,no,si,si,si,no,no,""
El cotillo,28.689875,-14.011906,no,baja,alta,blanca,no,si,si,si,no,no,""
Solana del Matorral,28.046935,-14.328684,si,baja,alta,blanca,no,si,si,si,si,si,"http://camara-niza.serveftp.com:8060/jpg/image.jpg"
blanca,28.477286,-13.867061,si,baja,alta,blanca,no,no,si,si,si,si,""
El Puertito,28.738169,-13.817180,no,media,alta,piedras,no,no,no,no,no,no,""
Tacorón,27.670268,-18.026592,no,media,alta,piedras,no,no,no,no,no,no,""
Tamaduste,27.824109,-17.895864,no,baja,media,piedras,no,no,no,si,si,no,""
Timijiraque,27.769819,-17.914553,no,baja,alta,negra,no,no,no,no,si,no,""
La Maceta,27.788715,-18.004557,no,baja,alta,si,no,no,no,no,no,""
El Faro,27.704652,-18.133477,no,alta,media,no,no,no,no,no,no,""
